"ligand","receptor","prob","ligand_confidence","receptor_confidence","combined_confidence","final_score"
"Gls,Slc17a6,Slc17a7,Slc17a8","Grm6",0,0.706644442575008,0.703658205829033,0.70514974340305,0
"Shmt1,Shmt2,Slc32a1","Glra1",0,0.654853901871509,0.690055953847666,0.672224541270854,0
"Shmt1,Shmt2,Slc32a1","Glra2",0,0.654853901871509,0.760951562294406,0.705912246461069,0
"Shmt1,Shmt2,Slc32a1","Glra3",0,0.654853901871509,0.706319597130674,0.680100098624706,0
"Shmt1,Shmt2,Slc32a1","Slc6a5",0,0.654853901871509,0.708073090666885,0.680943776117697,0
"Shmt1,Shmt2,Slc32a1","Slc6a9",0,0.654853901871509,0.700409099933784,0.677248574747817,0
"Grp","Grpr",0,0.670970500858587,0.699194666169957,0.684937220011958,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Adra1b",0,0.679727895266709,0.662910518359266,0.671266542734335,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Adra1d",0,0.679727895266709,0.751552218522399,0.714738419059208,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Adra2b",0,0.679727895266709,0.665,0.672323620254682,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Adrb1",0,0.679727895266709,0.676275284813029,0.677999392305668,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Adrb2",0,0.679727895266709,0.661621619589298,0.670613652520127,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Comt",0,0.679727895266709,0.678335487172337,0.679031334314088,0
"Th,Ddc,Dbh,Slc18a1,Slc18a2","Slc6a2",0,0.679727895266709,0.671127610557453,0.675414064244737,0
"Nos1,Nos2,Nos3","Gucy1b1",0,0.69956282277061,0.665,0.68206251703378,0
"Nos1,Nos2,Nos3","Gucy1b2",0,0.69956282277061,0.653371436697508,0.676072752426688,0
"Npy","Npy1r",0,0.770324028356026,0.636441120435251,0.700189894032401,0
"Npy","Npy5r",0,0.770324028356026,0.601645683314847,0.680780527346447,0
"Nrxn2","Nlgn2",0,0.741472811132095,0.659037513982823,0.699041056114983,0
"Nrxn2","Nlgn3",0,0.741472811132095,0.700262559341578,0.720573138831552,0
"Pdyn","Oprm1",0,0.634998257694393,0.77959963800701,0.703593925381417,0
