Cell_ID,X_Coordinate,Y_Coordinate,Assigned_Cell_Type,Assignment_Probability,Is_Top_75_Percent,ROI_Region,In_E_Region,In_MVL_Region
CR158ee290a-5807,9670.907142857144,9127.952857142856,Ex_DACH2_MGAT4C,0.0012093534,True,outside,False,False
CR158ee290a-5808,26269.91,8538.438,Ex_DACH2_GRIK4,0.0029796711,True,outside,False,False
CR158ee290a-5809,22578.126666666667,22467.612222222226,Ex_DACH2_RORB,0.0036658752,True,outside,False,False
CR158ee290a-581,22963.53,19187.199285714283,Inh_MGE_like_SST_SLC24A2,0.0016109408,True,outside,False,False
CR158ee290a-5810,14467.595833333335,15367.085000000001,Inh_OB_CPA6,0.002774881,True,outside,False,False
CR158ee290a-5811,10321.490952380953,15225.139047619046,Inh_MGE_like_SST_ABI3BP,0.0044983528,True,e,True,False
CR158ee290a-5812,9928.596666666666,16166.950000000003,Ex_SATB2_OVOA,0.0012144971,True,e,True,False
CR158ee290a-5813,22983.35818181818,7580.898636363636,Ex_DACH2_MGAT4C,0.00087975373,True,outside,False,False
CR158ee290a-5814,17272.879,7625.418000000001,Ex_DACH2_MGAT4C,0.0007877985,True,outside,False,False
CR158ee290a-5815,11719.894374999998,18820.7,Ex_BCL6,0.0014727871,True,outside,False,False
CR158ee290a-5816,23567.3725,18170.7625,Ex_SATB2_ZNF385B,0.0021693606,True,outside,False,False
CR158ee290a-5817,19680.43333333333,6879.82,Inh_MGE_like_SST_PVALB,0.00086480344,True,outside,False,False
CR158ee290a-5818,19930.60789473684,10825.949473684212,Ex_SATB2_SOX6,0.0004807705,True,outside,False,False
CR158ee290a-5819,7168.145625,19126.93,Inh_LGE_like_FOXP1_DGKH,0.00074208586,True,outside,False,False
CR158ee290a-582,22367.78789473684,17323.822105263156,Ex_SATB2_SOX6,0.0006749653,True,outside,False,False
CR158ee290a-5820,12773.487777777778,7323.663333333334,Ex_BCL6,0.005499005,True,outside,False,False
CR158ee290a-5821,25180.66,8475.757777777779,Ex_SATB2_SOX6,0.00044949588,True,outside,False,False
CR158ee290a-5822,23126.05833333333,22434.515833333327,Inh_MGE_like_SST_SLC24A2,0.00046381334,True,outside,False,False
CR158ee290a-5823,19519.46416666667,15327.85916666667,Ex_DACH2_GRIK4,0.001311311,True,outside,False,False
CR158ee290a-5824,21834.45666666667,9472.81,Ex_DACH2_GRIK4,0.00450445,True,outside,False,False
CR158ee290a-5825,18173.7,4711.52125,Ex_KIAA1217,0.0020823725,True,outside,False,False
CR158ee290a-5826,23969.74105263158,5770.968421052631,Ex_DACH2_GRIK4,0.0014236468,True,outside,False,False
CR158ee290a-5827,14181.582,16617.103,Ex_DACH2_ADAMTS5,0.0011157283,True,outside,False,False
CR158ee290a-5828,11716.369375,8570.740625,Inh_LGE_like_FOXP1_DGKH,0.00060446194,True,outside,False,False
CR158ee290a-5829,6985.855454545454,16034.236363636364,Ex_DACH2_MGAT4C,0.0011494857,True,e,True,False
CR158ee290a-583,5172.019333333333,14084.964,Ex_DACH2_ADAMTS5,0.00097215455,True,outside,False,False
CR158ee290a-5830,9477.937727272729,20525.255,Ex_BCL6,0.0029844355,True,outside,False,False
